DateTime,Block Reward
3/01/2009 0:00,50
9/01/2009 0:00,50
10/01/2009 0:00,50
11/01/2009 0:00,50
12/01/2009 0:00,50
13/01/2009 0:00,50
14/01/2009 0:00,50
15/01/2009 0:00,50
16/01/2009 0:00,50
17/01/2009 0:00,50
18/01/2009 0:00,50
19/01/2009 0:00,50
20/01/2009 0:00,50
21/01/2009 0:00,50
22/01/2009 0:00,50
23/01/2009 0:00,50
24/01/2009 0:00,50
25/01/2009 0:00,50
26/01/2009 0:00,50
27/01/2009 0:00,50
28/01/2009 0:00,50
29/01/2009 0:00,50
30/01/2009 0:00,50
31/01/2009 0:00,50
1/02/2009 0:00,50
2/02/2009 0:00,50
3/02/2009 0:00,50
4/02/2009 0:00,50
5/02/2009 0:00,50
6/02/2009 0:00,50
7/02/2009 0:00,50
8/02/2009 0:00,50
9/02/2009 0:00,50
10/02/2009 0:00,50
11/02/2009 0:00,50
12/02/2009 0:00,50
13/02/2009 0:00,50
14/02/2009 0:00,50
15/02/2009 0:00,50
16/02/2009 0:00,50
17/02/2009 0:00,50
18/02/2009 0:00,50
19/02/2009 0:00,50
20/02/2009 0:00,50
21/02/2009 0:00,50
22/02/2009 0:00,50
23/02/2009 0:00,50
24/02/2009 0:00,50
25/02/2009 0:00,50
26/02/2009 0:00,50
27/02/2009 0:00,50
28/02/2009 0:00,50
1/03/2009 0:00,50
2/03/2009 0:00,50
3/03/2009 0:00,50
4/03/2009 0:00,50
5/03/2009 0:00,50
6/03/2009 0:00,50
7/03/2009 0:00,50
8/03/2009 0:00,50
9/03/2009 0:00,50
10/03/2009 0:00,50
11/03/2009 0:00,50
12/03/2009 0:00,50
13/03/2009 0:00,50
14/03/2009 0:00,50
15/03/2009 0:00,50
16/03/2009 0:00,50
17/03/2009 0:00,50
18/03/2009 0:00,50
19/03/2009 0:00,50
20/03/2009 0:00,50
21/03/2009 0:00,50
22/03/2009 0:00,50
23/03/2009 0:00,50
24/03/2009 0:00,50
25/03/2009 0:00,50
26/03/2009 0:00,50
27/03/2009 0:00,50
28/03/2009 0:00,50
29/03/2009 0:00,50
30/03/2009 0:00,50
31/03/2009 0:00,50
1/04/2009 0:00,50
2/04/2009 0:00,50
3/04/2009 0:00,50
4/04/2009 0:00,50
5/04/2009 0:00,50
6/04/2009 0:00,50
7/04/2009 0:00,50
8/04/2009 0:00,50
9/04/2009 0:00,50
10/04/2009 0:00,50
11/04/2009 0:00,50
12/04/2009 0:00,50
13/04/2009 0:00,50
14/04/2009 0:00,50
15/04/2009 0:00,50
16/04/2009 0:00,50
17/04/2009 0:00,50
18/04/2009 0:00,50
19/04/2009 0:00,50
20/04/2009 0:00,50
21/04/2009 0:00,50
22/04/2009 0:00,50
23/04/2009 0:00,50
24/04/2009 0:00,50
25/04/2009 0:00,50
26/04/2009 0:00,50
27/04/2009 0:00,50
28/04/2009 0:00,50
29/04/2009 0:00,50
30/04/2009 0:00,50
1/05/2009 0:00,50
2/05/2009 0:00,50
3/05/2009 0:00,50
4/05/2009 0:00,50
5/05/2009 0:00,50
6/05/2009 0:00,50
7/05/2009 0:00,50
8/05/2009 0:00,50
9/05/2009 0:00,50
10/05/2009 0:00,50
11/05/2009 0:00,50
12/05/2009 0:00,50
13/05/2009 0:00,50
14/05/2009 0:00,50
15/05/2009 0:00,50
16/05/2009 0:00,50
17/05/2009 0:00,50
18/05/2009 0:00,50
19/05/2009 0:00,50
20/05/2009 0:00,50
21/05/2009 0:00,50
22/05/2009 0:00,50
23/05/2009 0:00,50
24/05/2009 0:00,50
25/05/2009 0:00,50
26/05/2009 0:00,50
27/05/2009 0:00,50
28/05/2009 0:00,50
29/05/2009 0:00,50
30/05/2009 0:00,50
31/05/2009 0:00,50
1/06/2009 0:00,50
2/06/2009 0:00,50
3/06/2009 0:00,50
4/06/2009 0:00,50
5/06/2009 0:00,50
6/06/2009 0:00,50
7/06/2009 0:00,50
8/06/2009 0:00,50
9/06/2009 0:00,50
10/06/2009 0:00,50
11/06/2009 0:00,50
12/06/2009 0:00,50
13/06/2009 0:00,50
14/06/2009 0:00,50
15/06/2009 0:00,50
16/06/2009 0:00,50
17/06/2009 0:00,50
18/06/2009 0:00,50
19/06/2009 0:00,50
20/06/2009 0:00,50
21/06/2009 0:00,50
22/06/2009 0:00,50
23/06/2009 0:00,50
24/06/2009 0:00,50
25/06/2009 0:00,50
26/06/2009 0:00,50
27/06/2009 0:00,50
28/06/2009 0:00,50
29/06/2009 0:00,50
30/06/2009 0:00,50
1/07/2009 0:00,50
2/07/2009 0:00,50
3/07/2009 0:00,50
4/07/2009 0:00,50
5/07/2009 0:00,50
6/07/2009 0:00,50
7/07/2009 0:00,50
8/07/2009 0:00,50
9/07/2009 0:00,50
10/07/2009 0:00,50
11/07/2009 0:00,50
12/07/2009 0:00,50
13/07/2009 0:00,50
14/07/2009 0:00,50
15/07/2009 0:00,50
16/07/2009 0:00,50
17/07/2009 0:00,50
18/07/2009 0:00,50
19/07/2009 0:00,50
20/07/2009 0:00,50
21/07/2009 0:00,50
22/07/2009 0:00,50
23/07/2009 0:00,50
24/07/2009 0:00,50
25/07/2009 0:00,50
26/07/2009 0:00,50
27/07/2009 0:00,50
28/07/2009 0:00,50
29/07/2009 0:00,50
30/07/2009 0:00,50
31/07/2009 0:00,50
1/08/2009 0:00,50
2/08/2009 0:00,50
3/08/2009 0:00,50
4/08/2009 0:00,50
5/08/2009 0:00,50
6/08/2009 0:00,50
7/08/2009 0:00,50
8/08/2009 0:00,50
9/08/2009 0:00,50
10/08/2009 0:00,50
11/08/2009 0:00,50
12/08/2009 0:00,50
13/08/2009 0:00,50
14/08/2009 0:00,50
15/08/2009 0:00,50
16/08/2009 0:00,50
17/08/2009 0:00,50
18/08/2009 0:00,50
19/08/2009 0:00,50
20/08/2009 0:00,50
21/08/2009 0:00,50
22/08/2009 0:00,50
23/08/2009 0:00,50
24/08/2009 0:00,50
25/08/2009 0:00,50
26/08/2009 0:00,50
27/08/2009 0:00,50
28/08/2009 0:00,50
29/08/2009 0:00,50
30/08/2009 0:00,50
31/08/2009 0:00,50
1/09/2009 0:00,50
2/09/2009 0:00,50
3/09/2009 0:00,50
4/09/2009 0:00,50
5/09/2009 0:00,50
6/09/2009 0:00,50
7/09/2009 0:00,50
8/09/2009 0:00,50
9/09/2009 0:00,50
10/09/2009 0:00,50
11/09/2009 0:00,50
12/09/2009 0:00,50
13/09/2009 0:00,50
14/09/2009 0:00,50
15/09/2009 0:00,50
16/09/2009 0:00,50
17/09/2009 0:00,50
18/09/2009 0:00,50
19/09/2009 0:00,50
20/09/2009 0:00,50
21/09/2009 0:00,50
22/09/2009 0:00,50
23/09/2009 0:00,50
24/09/2009 0:00,50
25/09/2009 0:00,50
26/09/2009 0:00,50
27/09/2009 0:00,50
28/09/2009 0:00,50
29/09/2009 0:00,50
30/09/2009 0:00,50
1/10/2009 0:00,50
2/10/2009 0:00,50
3/10/2009 0:00,50
4/10/2009 0:00,50
5/10/2009 0:00,50
6/10/2009 0:00,50
7/10/2009 0:00,50
8/10/2009 0:00,50
9/10/2009 0:00,50
10/10/2009 0:00,50
11/10/2009 0:00,50
12/10/2009 0:00,50
13/10/2009 0:00,50
14/10/2009 0:00,50
15/10/2009 0:00,50
16/10/2009 0:00,50
17/10/2009 0:00,50
18/10/2009 0:00,50
19/10/2009 0:00,50
20/10/2009 0:00,50
21/10/2009 0:00,50
22/10/2009 0:00,50
23/10/2009 0:00,50
24/10/2009 0:00,50
25/10/2009 0:00,50
26/10/2009 0:00,50
27/10/2009 0:00,50
28/10/2009 0:00,50
29/10/2009 0:00,50
30/10/2009 0:00,50
31/10/2009 0:00,50
1/11/2009 0:00,50
2/11/2009 0:00,50
3/11/2009 0:00,50
4/11/2009 0:00,50
5/11/2009 0:00,50
6/11/2009 0:00,50
7/11/2009 0:00,50
8/11/2009 0:00,50
9/11/2009 0:00,50
10/11/2009 0:00,50
11/11/2009 0:00,50
12/11/2009 0:00,50
13/11/2009 0:00,50
14/11/2009 0:00,50
15/11/2009 0:00,50
16/11/2009 0:00,50
17/11/2009 0:00,50
18/11/2009 0:00,50
19/11/2009 0:00,50
20/11/2009 0:00,50
21/11/2009 0:00,50
22/11/2009 0:00,50
23/11/2009 0:00,50
24/11/2009 0:00,50
25/11/2009 0:00,50
26/11/2009 0:00,50
27/11/2009 0:00,50
28/11/2009 0:00,50
29/11/2009 0:00,50
30/11/2009 0:00,50
1/12/2009 0:00,50
2/12/2009 0:00,50
3/12/2009 0:00,50
4/12/2009 0:00,50
5/12/2009 0:00,50
6/12/2009 0:00,50
7/12/2009 0:00,50
8/12/2009 0:00,50
9/12/2009 0:00,50
10/12/2009 0:00,50
11/12/2009 0:00,50
12/12/2009 0:00,50
13/12/2009 0:00,50
14/12/2009 0:00,50
15/12/2009 0:00,50
16/12/2009 0:00,50
17/12/2009 0:00,50
18/12/2009 0:00,50
19/12/2009 0:00,50
20/12/2009 0:00,50
21/12/2009 0:00,50
22/12/2009 0:00,50
23/12/2009 0:00,50
24/12/2009 0:00,50
25/12/2009 0:00,50
26/12/2009 0:00,50
27/12/2009 0:00,50
28/12/2009 0:00,50
29/12/2009 0:00,50
30/12/2009 0:00,50
31/12/2009 0:00,50
1/01/2010 0:00,50
2/01/2010 0:00,50
3/01/2010 0:00,50
4/01/2010 0:00,50
5/01/2010 0:00,50
6/01/2010 0:00,50
